REGNE;PHYLUM;CLASSE;ORDRE;FAMILLE;SOUS_FAMILLE;TRIBU;GROUP1_INPN;GROUP2_INPN;GROUP3_INPN;CD_NOM;CD_TAXSUP;CD_SUP;CD_REF;CD_BA;RANG;LB_NOM;LB_AUTEUR;NOMENCLATURAL_COMMENT;NOM_COMPLET;NOM_COMPLET_HTML;NOM_VALIDE;NOM_VERN;NOM_VERN_ENG;HABITAT;FR;GF;MAR;GUA;SM;SB;SPM;MAY;EPA;REU;SA;TA;TAAF;PF;NC;WF;CLI;URL;URL_INPN
;;;;;;;Autres;Autres;Autres;349525;;;349525;;Dumm;Biota;Endl.(D.Don);;Biota Endl.(D.Don);Biota Endl.(D.Don);Biota Endl.(D.Don);;;5;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;https://taxref.mnhn.fr/taxref-web/taxa/349525;
Animalia;;;;;;;Autres;Autres;Autres;183716;349525;349525;183716;183716;KD;Animalia;Linnaeus, 1758;;Animalia Linnaeus, 1758;Animalia Linnaeus, 1758;Animalia Linnaeus, 1758;Animaux;animals;;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;https://taxref.mnhn.fr/taxref-web/taxa/183716;
Animalia;Acanthocephala;;;;;;Vers;Acanthocéphales;Autres;183717;183716;838323;183717;;PH;Acanthocephala;Kölreuter, 1771;;Acanthocephala Kölreuter, 1771;Acanthocephala Kölreuter, 1771;Acanthocephala Kölreuter, 1771;Acanthocéphales, Vers à tête épineuse;thorny-headed worms;1;P;P;;;;;;;;P;P;P;P;P;P;;;https://taxref.mnhn.fr/taxref-web/taxa/183717;
Animalia;Acanthocephala;Archiacanthocephala;;;;;Vers;Acanthocéphales;Autres;183718;183717;183717;183718;;CL;Archiacanthocephala;Meyer, 1931;;Archiacanthocephala Meyer, 1931;Archiacanthocephala Meyer, 1931;Archiacanthocephala Meyer, 1931;;;;P;P;;;;;;;;P;;;;;P;;;https://taxref.mnhn.fr/taxref-web/taxa/183718;
Animalia;Acanthocephala;Archiacanthocephala;Gigantorhynchida;;;;Vers;Acanthocéphales;Autres;183721;183718;183718;183721;;OR;Gigantorhynchida;Southwell & Macfie, 1925;;Gigantorhynchida Southwell & Macfie, 1925;Gigantorhynchida Southwell & Macfie, 1925;Gigantorhynchida Southwell & Macfie, 1925;;;;;;;;;;;;;;;;;;P;;;https://taxref.mnhn.fr/taxref-web/taxa/183721;
Animalia;Acanthocephala;Archiacanthocephala;Gigantorhynchida;Gigantorhynchidae;;;Vers;Acanthocéphales;Autres;183722;183721;183721;183722;;FM;Gigantorhynchidae;Hamann, 1892;;Gigantorhynchidae Hamann, 1892;Gigantorhynchidae Hamann, 1892;Gigantorhynchidae Hamann, 1892;;;3;;;;;;;;;;;;;;;P;;;https://taxref.mnhn.fr/taxref-web/taxa/183722;
Animalia;Acanthocephala;Archiacanthocephala;Gigantorhynchida;Gigantorhynchidae;;;Vers;Acanthocéphales;Autres;200782;183722;183722;200782;;GN;Mediorhynchus;Van Cleave, 1916;;Mediorhynchus Van Cleave, 1916;<i>Mediorhynchus</i> Van Cleave, 1916;Mediorhynchus Van Cleave, 1916;;;3;;;;;;;;;;;;;;;P;;;https://taxref.mnhn.fr/taxref-web/taxa/200782;
Animalia;Acanthocephala;Archiacanthocephala;Gigantorhynchida;Gigantorhynchidae;;;Vers;Acanthocéphales;Autres;969734;200782;200782;969734;969735;ES;Mediorhynchus zosteropis;(Porta, 1913);;Mediorhynchus zosteropis (Porta, 1913);<i>Mediorhynchus zosteropis</i> (Porta, 1913);Mediorhynchus zosteropis (Porta, 1913);;;3;;;;;;;;;;;;;;;P;;;https://taxref.mnhn.fr/taxref-web/taxa/969734;https://inpn.mnhn.fr/espece/cd_nom/969734
Animalia;Acanthocephala;Archiacanthocephala;Gigantorhynchida;Gigantorhynchidae;;;Vers;Acanthocéphales;Autres;969735;;;969734;969735;ES;Chentrosoma zosteropis;Porta, 1913;;Chentrosoma zosteropis Porta, 1913;<i>Chentrosoma zosteropis</i> Porta, 1913;Mediorhynchus zosteropis (Porta, 1913);;;3;;;;;;;;;;;;;;;P;;;https://taxref.mnhn.fr/taxref-web/taxa/969735;https://inpn.mnhn.fr/espece/cd_nom/969735
Animalia;Acanthocephala;Archiacanthocephala;Moniliformida;;;;Vers;Acanthocéphales;Autres;183723;183718;183718;183723;183723;OR;Moniliformida;Schmidt, 1972;;Moniliformida Schmidt, 1972;Moniliformida Schmidt, 1972;Moniliformida Schmidt, 1972;;;;P;;;;;;;;;P;;;;;P;;;https://taxref.mnhn.fr/taxref-web/taxa/183723;
